origem;uf_origem;destino;distancia;tarifa
BEBEDOURO;SP;CAMBIRA;510;R$ 704,55
BEBEDOURO;SP;PARANAIBA;375;R$ 485,10
BEBEDOURO;SP;CHAPADAO DO SUL;568;R$ 837,38
BEBEDOURO;SP;ITUPEVA;323;R$ 360,68
BEBEDOURO;SP;JACI;141;R$ 203,11
BEBEDOURO;SP;COLOMBO;765;R$ 981,75
BEBEDOURO;SP;MIGUELOPOLIS;124;R$ 213,68
BEBEDOURO;SP;REGENTE FEIJO;374;R$ 479,33
BEBEDOURO;SP;JAMBEIRO;472;R$ 681,45
BEBEDOURO;SP;NOVA MUTUM;1487;R$ 2.061,68
BEBEDOURO;SP;VITORINO;1004;R$ 1.328,54
BEBEDOURO;SP;PAULINIA;282;R$ 479,33
BEBEDOURO;SP;ESTRELA;1431;R$ 2.047,03
BEBEDOURO;SP;ALTAMIRA;2484;R$ 3.294,06
BEBEDOURO;SP;AGROLANDIA;1072;R$ 1.518,66
BEBEDOURO;SP;TIMOTEO;790;R$ 938,44
BEBEDOURO;SP;MANAUS;3583;R$ 4.287,89
BEBEDOURO;SP;DOBRADA;76;R$ 167,47
BEBEDOURO;SP;BIGUACU;1031;R$ 1.334,55
BEBEDOURO;SP;BETIM;565;R$ 710,65
BEBEDOURO;SP;BELO HORIZONTE;604;R$ 753,38
BEBEDOURO;SP;CONTAGEM;607;R$ 825,83
BEBEDOURO;SP;ITARARE;442;R$ 522,06
BEBEDOURO;SP;CANELA;1457;R$ 1.980,83
BEBEDOURO;SP;TUNAS DO PARANA;611;R$ 753,06
BEBEDOURO;SP;BOM JESUS DOS PERDOES;364;R$ 456,52
BEBEDOURO;SP;SAO PEDRO DO TURVO;338;R$ 453,23
BEBEDOURO;SP;PIRAPORA DO BOM JESUS;373;R$ 476,29
BEBEDOURO;SP;PRESIDENTE FIGUEIREDO;3707;R$ 4.911,06
BEBEDOURO;SP;RIO NEGRO;871;R$ 1.056,83
BEBEDOURO;SP;BARRINHA;67;R$ 86,63
BEBEDOURO;SP;POCOS DE CALDA;278;R$ 358,05
BEBEDOURO;SP;SAQUAREMA ;878;R$ 1.053,36
BEBEDOURO;SP;ITAPOA;880;R$ 1.051,05
BEBEDOURO;SP;ARCOS;398;R$ 467,78
BEBEDOURO;SP;AGUAI;243;R$ 306,08
BEBEDOURO;SP;BENEVIDES;2500;R$ 2.905,50
BEBEDOURO;SP;CAJAMAR;350;R$ 445,71
BEBEDOURO;SP;SAO JOSE DOS PINHAIS;780;R$ 915,43
BEBEDOURO;SP;CURITIBA;763;R$ 895,13
BEBEDOURO;SP;CAMPO MOURAO;639;R$ 779,63
BEBEDOURO;SP;SAO GABRIEL DO OESTE;857;R$ 1.051,05
BEBEDOURO;SP;BARRA DO CHAPEU;546;R$ 675,68
BEBEDOURO;SP;BRASILEIA;3419;R$ 4.060,42
BEBEDOURO;SP;CARLOPOLIS;400;R$ 476,15
BEBEDOURO;SP;SALES OLIVEIRA;80;R$ 164,82
BEBEDOURO;SP;IRACEMAPOLIS;234;R$ 479,33
BEBEDOURO;SP;BOITUVA;327;R$ 437,02
BEBEDOURO;SP;CAMACARI;1829;R$ 2.483,54
BEBEDOURO;SP;OSASCO;377;R$ 554,75
BEBEDOURO;SP;LAURO DE FREITAS;1834;R$ 2.492,28
BEBEDOURO;SP;ARACOIABA DA SERRA;391;R$ 473,55
BEBEDOURO;SP;ALVINOPOLIS;745;R$ 941,33
BEBEDOURO;SP;AMERICO BRASILIENSE;157;R$ 185,33
BEBEDOURO;SP;ANAPOLIS;854;R$ 1.084,41
BEBEDOURO;SP;TERENOS;777;R$ 935,84
BEBEDOURO;SP;ANDRADINA;373;R$ 404,54
BEBEDOURO;SP;APARECIDA DE GOIANIA;505;R$ 866,54
BEBEDOURO;SP;APARECIDA DO TABOADO;325;R$ 564,74
BEBEDOURO;SP;ARACATUBA;273;R$ 324,47
BEBEDOURO;SP;UCHOA;93;R$ 141,32
BEBEDOURO;SP;CAFELANDIA;203;R$ 301,20
BEBEDOURO;SP;ARAGUAINA;1696;R$ 2.114,39
BEBEDOURO;SP;URUSSANGA;1222;R$ 1.568,99
BEBEDOURO;SP;JUNDIAI;327;R$ 530,03
BEBEDOURO;SP;MARILIA;254;R$ 279,69
BEBEDOURO;SP;SEBASTIANOPOLIS DO SUL;182;R$ 204,82
BEBEDOURO;SP;SAO DESIDERIO;1315;R$ 1.762,18
BEBEDOURO;SP;NOVA BRASILANDIA DO OESTE;2297;R$ 2.830,78
BEBEDOURO;SP;CAMBUI;439;R$ 670,48
BEBEDOURO;SP;SAO JOAQUIM DE BICAS;564;R$ 707,56
BEBEDOURO;SP;CACOAL;2215;R$ 2.838,26
BEBEDOURO;SP;ARAGUARI;319;R$ 476,87
BEBEDOURO;SP;ARARAQUARA;113;R$ 118,34
BEBEDOURO;SP;ARARAS;228;R$ 358,40
BEBEDOURO;SP;ARCEBURGO;205;R$ 289,74
BEBEDOURO;SP;ASSIS CHATEAUBRIAND;781;R$ 964,91
BEBEDOURO;SP;BARRA BONITA;204;R$ 248,46
BEBEDOURO;SP;BARRETOS;49;R$ 61,75
BEBEDOURO;SP;BATATAIS;123;R$ 126,54
BEBEDOURO;SP;BEBEDOURO;25;R$ 29,17
BEBEDOURO;SP;BENTO DE ABREU;302;R$ 359,57
BEBEDOURO;SP;BIRIGUI;245;R$ 291,35
BEBEDOURO;SP;BOA VISTA;4349;R$ 6.305,03
BEBEDOURO;SP;BRASILIA;713;R$ 1.074,68
BEBEDOURO;SP;BROTAS;127;R$ 156,68
BEBEDOURO;SP;CAJURU;142;R$ 147,44
BEBEDOURO;SP;CAMANDUCAIA;419;R$ 618,95
BEBEDOURO;SP;CAMPINAS;302;R$ 387,16
BEBEDOURO;SP;CAMPO GRANDE;745;R$ 1.138,41
BEBEDOURO;SP;CAMPO VERDE;1151;R$ 2.605,26
BEBEDOURO;SP;CASCAVEL;937;R$ 1.338,41
BEBEDOURO;SP;CATALAO;399;R$ 595,96
BEBEDOURO;SP;CATANDUVA;67;R$ 62,11
BEBEDOURO;SP;CEDRAL;109;R$ 113,40
BEBEDOURO;SP;COLOMBIA;92;R$ 100,64
BEBEDOURO;SP;CORONEL FREITAS;1100;R$ 1.565,03
BEBEDOURO;SP;CRAVINHOS;103;R$ 106,79
BEBEDOURO;SP;DIADEMA;417;R$ 552,09
BEBEDOURO;SP;DOURADOS;834;R$ 1.104,01
BEBEDOURO;SP;DRACENA;245;R$ 434,05
BEBEDOURO;SP;ELISIARIO;76;R$ 127,34
BEBEDOURO;SP;ESPIRITO SANTO DO PINHAL;273;R$ 410,93
BEBEDOURO;SP;EUSEBIO;2798;R$ 3.760,56
BEBEDOURO;SP;FRANCA;169;R$ 179,26
BEBEDOURO;SP;GOIANIA;524;R$ 753,29
BEBEDOURO;SP;GUAPIACU;93;R$ 175,91
BEBEDOURO;SP;GUARA;317;R$ 317,99
BEBEDOURO;SP;GUARIBA;65;R$ 60,32
BEBEDOURO;SP;GUARULHOS;410;R$ 485,39
BEBEDOURO;SP;IACRI;297;R$ 456,82
BEBEDOURO;SP;IBATE;136;R$ 144,90
BEBEDOURO;SP;IGARAPAVA;158;R$ 173,37
BEBEDOURO;SP;INDAIATUBA;313;R$ 375,99
BEBEDOURO;SP;INHUMAS;576;R$ 786,50
BEBEDOURO;SP;IPAUSSU;336;R$ 375,99
BEBEDOURO;SP;ITABORAI;822;R$ 1.273,52
BEBEDOURO;SP;ITAJUBA;446;R$ 682,44
BEBEDOURO;SP;ITAMBE;2599;R$ 3.216,81
BEBEDOURO;SP;ITAPIRA;303;R$ 344,77
BEBEDOURO;SP;ITAPOLIS;108;R$ 168,05
BEBEDOURO;SP;ITAQUAQUECETUBA;428;R$ 675,91
BEBEDOURO;SP;ITATIBA;335;R$ 476,21
BEBEDOURO;SP;ITUMBIARA;320;R$ 476,44
BEBEDOURO;SP;ITUVERAVA;158;R$ 167,91
BEBEDOURO;SP;JABOTICABAL;43;R$ 44,88
BEBEDOURO;SP;JARDINOPOLIS;102;R$ 109,00
BEBEDOURO;SP;JAU;181;R$ 206,70
BEBEDOURO;SP;JOSE BONIFACIO;159;R$ 249,45
BEBEDOURO;SP;LIMEIRA;250;R$ 295,44
BEBEDOURO;SP;LINS;224;R$ 273,24
BEBEDOURO;SP;LONDRINA;453;R$ 676,71
BEBEDOURO;SP;LUZIANIA;659;R$ 922,31
BEBEDOURO;SP;MANDAGUACU;564;R$ 861,17
BEBEDOURO;SP;MANDAGUARI;523;R$ 761,03
BEBEDOURO;SP;MARACAI;351;R$ 409,20
BEBEDOURO;SP;MARIALVA;533;R$ 603,55
BEBEDOURO;SP;MARINGA;539;R$ 598,72
BEBEDOURO;SP;MATAO;83;R$ 78,35
BEBEDOURO;SP;MATELANDIA;882;R$ 1.107,62
BEBEDOURO;SP;MINEIROS;959;R$ 1.332,20
BEBEDOURO;SP;MIRASSOL;140;R$ 176,34
BEBEDOURO;SP;MOCOCA;190;R$ 232,45
BEBEDOURO;SP;MOGI DAS CRUZES;437;R$ 784,01
BEBEDOURO;SP;MOGI GUACU;276;R$ 408,45
BEBEDOURO;SP;MONTE ALTO;57;R$ 83,62
BEBEDOURO;SP;MONTE AZUL PAULISTA;20;R$ 23,22
BEBEDOURO;SP;MORRO AGUDO;55;R$ 60,41
BEBEDOURO;SP;NEVES PAULISTA;146;R$ 178,88
BEBEDOURO;SP;OLIMPIA;55;R$ 49,21
BEBEDOURO;SP;ORLANDIA;83;R$ 83,34
BEBEDOURO;SP;OURINHOS;346;R$ 522,82
BEBEDOURO;SP;PADRE BERNARDO;787;R$ 1.127,05
BEBEDOURO;SP;PAICANDU;563;R$ 789,11
BEBEDOURO;SP;PALMAS;1409;R$ 1.895,19
BEBEDOURO;SP;PARANAVAI;646;R$ 835,84
BEBEDOURO;SP;PARAPUA;304;R$ 485,51
BEBEDOURO;SP;PATOS DE MINAS;454;R$ 692,80
BEBEDOURO;SP;PENAPOLIS;227;R$ 345,08
BEBEDOURO;SP;PINDORAMA;64;R$ 91,13
BEBEDOURO;SP;PINHAIS;770;R$ 930,13
BEBEDOURO;SP;PIRACICABA;245;R$ 277,53
BEBEDOURO;SP;PIRANGI;35;R$ 46,57
BEBEDOURO;SP;PITANGUEIRAS;30;R$ 37,86
BEBEDOURO;SP;POMPEIA;245;R$ 348,12
BEBEDOURO;SP;PONTA GROSSA;700;R$ 849,83
BEBEDOURO;SP;PONTAL;62;R$ 72,71
BEBEDOURO;SP;PRADOPOLIS;73;R$ 97,00
BEBEDOURO;SP;PRATA;225;R$ 330,21
BEBEDOURO;SP;RAFARD;285;R$ 364,17
BEBEDOURO;SP;RIBEIRAO PRETO;80;R$ 87,03
BEBEDOURO;SP;RIO DAS PEDRAS;260;R$ 364,35
BEBEDOURO;SP;RIO VERDE;522;R$ 598,72
BEBEDOURO;SP;ROLANDIA;462;R$ 751,28
BEBEDOURO;SP;RONDONOPOLIS;1019;R$ 1.415,37
BEBEDOURO;SP;SANTA ADELIA;57;R$ 73,79
BEBEDOURO;SP;SANTA BARBARA D'OESTE;266;R$ 398,96
BEBEDOURO;SP;SANTA CRUZ DA ESPERANCA;128;R$ 151,48
BEBEDOURO;SP;SANTA ROSA DE VITERBO;154;R$ 171,58
BEBEDOURO;SP;SANTA TEREZA DO OESTE;834;R$ 988,43
BEBEDOURO;SP;SANTO ANDRE;402;R$ 489,32
BEBEDOURO;SP;SAO CARLOS;149;R$ 187,64
BEBEDOURO;SP;SAO JOAO DA BOA VISTA;252;R$ 280,09
BEBEDOURO;SP;SAO JOSE DO RIO PARDO;209;R$ 233,14
BEBEDOURO;SP;SAO JOSE DO RIO PRETO;123;R$ 138,43
BEBEDOURO;SP;SAO MIGUEL DO IGUACU;911;R$ 1.273,37
BEBEDOURO;SP;SAO PAULO;395;R$ 595,19
BEBEDOURO;SP;SAO SEBASTIAO DO PARAISO;192;R$ 210,50
BEBEDOURO;SP;SARANDI;542;R$ 553,08
BEBEDOURO;SP;SERTAOZINHO;60;R$ 60,09
BEBEDOURO;SP;SEVERINIA;38;R$ 46,56
BEBEDOURO;SP;SIQUEIRA CAMPOS;455;R$ 692,66
BEBEDOURO;SP;SOROCABA;348;R$ 510,96
BEBEDOURO;SP;TABAPUA;93;R$ 108,71
BEBEDOURO;SP;TABATINGA;114;R$ 145,07
BEBEDOURO;SP;TAMBAU;178;R$ 222,03
BEBEDOURO;SP;TRES LAGOAS;414;R$ 474,08
BEBEDOURO;SP;TUPA;320;R$ 361,26
BEBEDOURO;SP;VALENTIM GENTIL;212;R$ 232,53
BEBEDOURO;SP;VARGEM GRANDE DO SUL;233;R$ 292,09
BEBEDOURO;SP;VARZEA GRANDE;1246;R$ 1.559,73
BEBEDOURO;SP;VILHENA;1993;R$ 2.714,78
BEBEDOURO;SP;VISTA ALEGRE DO ALTO;48;R$ 49,91
BEBEDOURO;SP;VOTUPORANGA;195;R$ 227,67
